key_code,id,name,left,top,right,bottom,detect_method
33,0,take_drive,838.3459739685059,362.0660057067871,919.3539772033691,443.0740089416504,0
33,1,door,664.2199859619141,373.1599884033203,717.9999847412109,426.9399871826172,0
33,2,strop_on,757.4140014648438,321.4540100097656,833.9660034179688,398.0060119628906,0
33,3,strop_off,758.6740112304688,320.1940002441406,835.2260131835938,396.7460021972656,0
33,4,tough_on,757.4140014648438,321.4540100097656,833.9660034179688,398.0060119628906,0
33,5,tough_off,758.8000030517578,321.5800018310547,832.5800018310547,395.36000061035156,0
33,6,print_vehicle,550.402021408081,472.28199577331543,605.0180225372314,526.8979969024658,0
33,7,update_chip,550.402021408081,473.54200553894043,605.0180225372314,528.1580066680908,0
33,8,select_weapon,758.304012298584,321.08401107788086,835.5960121154785,398.3760108947754,0
33,9,para,250.30401229858398,278.0240135192871,343.15600967407227,370.8760108947754,0
33,10,hacker,758.6740112304688,320.1940002441406,835.2260131835938,396.7460021972656,0
33,11,pick_hand_white,892,196,936,241,0
33,12,pick_hand_yellow,890,195,938,242,0
33,13,grenade,159.5040054321289,256.5239944458008,227.31600189208984,324.3359909057617,0
33,14,no_follow,249.29600143432617,278.2760124206543,341.6440010070801,370.6240119934082,0
33,15,roll_door,663.2199859619141,372.1599884033203,718.9999847412109,427.9399871826172,0
33,16,esc,376.76800537109375,322.5880126953125,451.052001953125,396.87200927734375,0
34,0,drive_by,835.6999664306641,474.07997131347656,919.4799652099609,557.8599700927734,0
34,1,pick_box_yellow,828,194,876,241,0
34,2,pick_box_white,830,195,875,240,0
58,0,ex_seat,1175.0799713134766,615.6399688720703,1242.8599700927734,683.4199676513672,0
